Customer Name,total_spending,order_frequency,avg_order_value
Aaron Bergman,886.156,6,147.69266666666667
Aaron Hawkins,1744.7,11,158.60909090909092
Aaron Smayling,3050.692,10,305.0692
Adam Bellavance,7755.62,18,430.86777777777775
Adam Hart,3250.337,20,162.51685
Adam Shillingsburg,3255.31,25,130.2124
Adrian Barton,14473.570999999998,20,723.6785499999999
Adrian Hane,1735.5140000000001,16,108.46962500000001
Adrian Shami,58.82,3,19.606666666666666
Aimee Bixby,966.71,12,80.55916666666667
Alan Barnes,1113.838,14,79.55985714285714
Alan Dominguez,6106.88,12,508.9066666666667
Alan Haines,1587.452,8,198.4315
Alan Hwang,4805.344,13,369.64184615384613
Alan Schoenberger,4260.784,13,327.75261538461535
Alan Shonely,503.968,10,50.3968
Alejandro Ballentine,914.5319999999999,14,65.32371428571427
Alejandro Grove,2582.898,14,184.4927142857143
Alejandro Savely,3214.236,8,401.7795
Aleksandra Gannaway,367.548,5,73.5096
Alex Avila,5563.56,11,505.77818181818185
Alex Grayson,660.972,9,73.44133333333333
Alex Russell,1055.694,5,211.1388
Alice McCarthy,814.012,12,67.83433333333333
Allen Armold,1056.39,15,70.426
Allen Goldenen,200.945,8,25.118125
Allen Rosenblatt,2236.128,7,319.44685714285714
Alyssa Crouse,925.8,5,185.16
Alyssa Tate,1166.0720000000001,8,145.75900000000001
Amy Cox,5527.846,9,614.205111111111
Amy Hunt,2495.3916,8,311.92395
Andrew Allen,1790.5120000000002,12,149.20933333333335
Andrew Gjertsen,1419.247,14,101.37478571428572
Andrew Roberts,264.86400000000003,7,37.83771428571429
Andy Gerbode,1455.038,9,161.6708888888889
Andy Reiter,6608.448,9,734.272
Andy Yotov,497.014,10,49.7014
Anemone Ratner,88.15,2,44.075
Angele Hood,738.504,5,147.70080000000002
Ann Blume,1515.862,8,189.48275
Ann Chong,2537.6859999999997,18,140.98255555555554
Ann Steele,833.398,12,69.44983333333333
Anna Andreadi,5086.9349999999995,18,282.60749999999996
Anna Chung,657.316,6,109.55266666666667
Anna Gayman,3489.0396000000005,15,232.60264000000004
Anna Häberlin,7888.294,23,342.9693043478261
Anne McFarland,5664.022,22,257.4555454545455
Anne Pryor,545.932,10,54.5932
Annie Thurman,3831.864,16,239.4915
Annie Zypern,1622.0179999999998,12,135.16816666666665
Anthony Garverick,170.584,5,34.1168
Anthony Jacobs,4867.344,15,324.4896
Anthony Johnson,4501.391,21,214.35195238095235
Anthony O'Donnell,161.28,1,161.28
Anthony Rawles,4523.336,13,347.9489230769231
Anthony Witt,649.376,8,81.172
Arianne Irving,4375.786,18,243.09922222222224
Art Ferguson,2052.908,16,128.30675
Art Foster,861.565,7,123.0807142857143
Arthur Gainer,4510.797,21,214.79985714285712
Arthur Prichep,3323.556,31,107.21148387096774
Arthur Wiediger,2852.968,16,178.3105
Ashley Jarboe,1829.896,9,203.32177777777778
Astrea Jones,629.2479999999999,5,125.84959999999998
Barbara Fisher,599.798,13,46.13830769230769
Barry Blumstein,744.3399999999999,8,93.04249999999999
Barry Franz,1333.88,10,133.388
Barry Französisch,2888.506,21,137.54790476190476
Barry Gonzalez,2798.948,12,233.24566666666666
Barry Pond,983.42,7,140.48857142857142
Barry Weirich,385.516,3,128.50533333333334
Bart Folk,272.95,6,45.49166666666667
Bart Pistole,2442.044,20,122.1022
Bart Watters,4750.358,17,279.4328235294118
Becky Castell,2933.676,18,162.982
Becky Martin,11789.63,16,736.851875
Becky Pak,1697.8609999999999,11,154.351
Ben Ferrer,5907.972,27,218.81377777777777
Ben Peterman,3675.861,18,204.2145
Ben Wallace,1738.406,10,173.8406
Benjamin Farhat,1585.162,8,198.14525
Benjamin Patterson,1181.49,6,196.915
Benjamin Venier,1523.2730000000001,14,108.8052142857143
Berenike Kampe,659.1379999999999,16,41.196124999999995
Beth Fritzler,791.9899999999999,4,197.99749999999997
Beth Paige,2475.157,16,154.6973125
Beth Thompson,2567.656,9,285.2951111111111
Bill Donatelli,5718.521,19,300.9747894736842
Bill Eplett,4204.676,9,467.1862222222223
Bill Overfelt,2682.728,12,223.56066666666666
Bill Shonely,10501.653,9,1166.8503333333333
Bill Stewart,3887.834,13,299.06415384615383
Bill Tyler,2186.6130000000003,10,218.66130000000004
Bobby Elias,2261.438,5,452.2876
Bobby Odegard,130.83,2,65.415
Bobby Trafton,603.876,7,86.268
Brad Eason,748.026,10,74.8026
Brad Norvell,265.296,6,44.216
Brad Thomas,415.19599999999997,3,138.39866666666666
Bradley Drucker,4411.2429999999995,10,441.12429999999995
Bradley Nguyen,1459.344,17,85.84376470588235
Bradley Talbott,2684.4919999999997,10,268.44919999999996
Brenda Bowman,6765.728,20,338.2864
Brendan Dodson,320.54,4,80.135
Brendan Murry,808.162,10,80.81620000000001
Brendan Sweed,2454.928,10,245.4928
Brian Dahlen,2783.189,15,185.54593333333332
Brian DeCherney,1538.11,8,192.26375
Brian Derr,582.646,5,116.52919999999999
Brian Moss,7294.185,29,251.5236206896552
Brian Stugart,3288.1099999999997,11,298.91909090909087
Brian Thompson,3196.752,20,159.8376
Brooke Gillingham,1874.172,8,234.2715
Brosina Hoffman,6255.351,24,260.63962499999997
Bruce Degenhardt,1526.5,10,152.65
Bruce Geld,1006.356,7,143.76514285714285
Bruce Stewart,2562.382,14,183.0272857142857
Bryan Davis,658.466,10,65.8466
Bryan Mills,1338.842,14,95.63157142857143
Bryan Spruell,949.4300000000001,8,118.67875000000001
Candace McMahon,1673.888,10,167.3888
Cari Sayre,1278.954,8,159.86925
Cari Schnelling,537.632,7,76.80457142857142
Carl Jackson,16.52,1,16.52
Carl Ludwig,1262.0140000000001,7,180.28771428571432
Carl Weiss,1136.592,11,103.32654545454547
Carlos Daly,2033.968,9,225.99644444444445
Carlos Meador,565.392,4,141.348
Carlos Soltero,3036.547,22,138.02486363636365
Carol Adams,3789.7228,10,378.97228
Carol Darley,639.766,6,106.62766666666666
Carol Triggs,3241.898,18,180.10544444444446
Caroline Jumper,11164.974,20,558.2487
Cassandra Brandow,5730.669,22,260.4849545454545
Catherine Glotzbach,904.4680000000001,9,100.49644444444445
Cathy Armstrong,1679.7240000000002,10,167.97240000000002
Cathy Hwang,1537.236,4,384.309
Cathy Prescott,5402.254,14,385.8752857142857
Chad Cunningham,1685.889,12,140.49075
Chad McGuire,1661.6100000000001,7,237.37285714285716
Chad Sievert,884.64,7,126.37714285714286
Charles Crestani,2471.65,11,224.69545454545457
Charles McCrossin,2533.314,7,361.902
Charles Sheldon,844.4580000000001,8,105.55725000000001
Charlotte Melton,1475.144,7,210.73485714285715
Chloris Kastensmidt,3154.855,32,98.58921875
Chris Cortes,3670.258,21,174.77419047619046
Chris McAfee,2305.712,8,288.214
Chris Selesnick,2754.216,28,98.36485714285713
Christina Anderson,2638.3272,16,164.89545
Christina DeMoss,1205.584,13,92.73723076923078
Christina VanderZanden,2830.6279999999997,13,217.74061538461535
Christine Abelman,1421.954,11,129.26854545454546
Christine Kargatis,2945.321,12,245.44341666666665
Christine Phan,5817.187,14,415.51335714285716
Christine Sundaresam,3202.1620000000003,22,145.5528181818182
Christopher Conant,12129.072000000002,11,1102.6429090909094
Christopher Martinez,8954.019999999999,10,895.4019999999998
Christopher Schild,3651.8585000000003,14,260.8470357142857
Christy Brittain,1949.2,12,162.43333333333334
Chuck Clark,2870.05,19,151.05526315789476
Chuck Magee,287.99,9,31.99888888888889
Chuck Sachs,550.644,6,91.774
Cindy Chapman,1659.438,13,127.64907692307693
Cindy Schnelling,970.1105,8,121.2638125
Cindy Stewart,5690.054999999999,9,632.2283333333332
Claire Gute,1148.7800000000002,5,229.75600000000003
Claudia Bergmann,4246.4555,19,223.49765789473685
Clay Cheatham,113.832,4,28.458
Clay Ludtke,10880.546,28,388.5909285714286
Clay Rozendal,2148.852,6,358.142
Clytie Kelty,2372.75,25,94.91
Corey Catlett,2540.631,12,211.71925
Corey Roper,475.9,4,118.975
Corey-Lock,1300.076,8,162.5095
Corinna Mitchell,5890.508,8,736.3135
Craig Carreira,2269.7015,14,162.12153571428573
Craig Carroll,2854.1150000000002,12,237.8429166666667
Craig Leslie,2335.586,7,333.65514285714283
Craig Molinari,3984.4524,13,306.49633846153847
Craig Reiter,1600.55,6,266.7583333333333
Craig Yedwab,2004.0819999999999,10,200.4082
Cyma Kinney,1582.109,14,113.0077857142857
Cynthia Arntzen,3041.566,17,178.9156470588235
Cynthia Delaney,1860.732,15,124.0488
Cynthia Voltz,2370.3136,19,124.75334736842105
Cyra Reiten,1397.8724,7,199.69605714285714
Damala Kotsonis,3256.48,27,120.61037037037038
Dan Campbell,3336.168,18,185.34266666666667
Dan Lawera,444.024,7,63.432
Dan Reichenbach,6528.034000000001,24,272.00141666666667
Dana Kaydos,4282.176,15,285.4784
Daniel Byrd,2171.599,12,180.96658333333335
Daniel Lacy,3272.2,14,233.72857142857143
Daniel Raglin,8350.868,13,642.3744615384616
Dario Medina,1322.034,9,146.89266666666668
Darren Budd,2469.6672,10,246.96671999999998
Darren Koutras,1687.04,8,210.88
Darren Powers,897.524,15,59.83493333333333
Darrin Martin,6345.103,20,317.25515
Darrin Sayre,1762.213,19,92.74805263157894
Darrin Van Huff,1119.483,9,124.387
Dave Brooks,4151.51,10,415.151
Dave Hallsten,3487.1980000000003,18,193.73322222222225
Dave Kipp,2650.557,13,203.88899999999998
Dave Poirier,2215.002,14,158.21442857142856
David Bremer,2973.094,14,212.36385714285714
David Flashing,2390.534,6,398.42233333333337
David Kendrick,797.832,5,159.5664
David Philippe,1058.616,4,264.654
David Smith,2881.8128,20,144.09064
David Wiener,1080.751,9,120.08344444444444
Dean Braden,2332.577,21,111.07509523809524
Dean Katz,4802.394,19,252.75757894736844
Dean percer,7198.7609999999995,29,248.23313793103446
Deanra Eno,2550.874,9,283.43044444444445
Deborah Brumfield,4655.897,13,358.14592307692305
Debra Catini,1174.618,7,167.8025714285714
Deirdre Greer,3195.818,8,399.47725
Delfina Latchford,1458.258,17,85.77988235294117
Denise Leinenbach,585.02,8,73.1275
Denise Monton,4074.4719999999998,13,313.42092307692303
Dennis Bolton,1081.466,6,180.24433333333332
Dennis Kane,3318.486,23,144.28199999999998
Dennis Pardue,5480.723999999999,14,391.4802857142857
Denny Blanton,1711.692,14,122.26371428571429
Denny Joy,2012.52,5,402.504
Denny Ordway,1300.0315,13,100.00242307692308
Dianna Arnett,156.76,8,19.595
Dianna Vittorini,3254.487,13,250.34515384615386
Dianna Wilson,5271.628,11,479.2389090909091
Dionis Lloyd,3539.322,12,294.94350000000003
Don Jones,2501.6879999999996,13,192.43753846153842
Don Miller,1376.792,10,137.67919999999998
Don Weiss,344.08,9,38.23111111111111
Dorothy Badders,3908.8028,14,279.2002
Dorothy Dickinson,269.542,9,29.949111111111108
Dorothy Wardle,1204.854,10,120.4854
Dorris liebe,755.602,6,125.93366666666667
Doug Bickford,1989.05,11,180.82272727272726
Doug Jacobs,3356.398,8,419.54975
Doug O'Connell,1267.316,11,115.21054545454545
Duane Benoit,1155.202,10,115.5202
Duane Huffman,1043.096,11,94.8269090909091
Duane Noonan,2139.79,11,194.52636363636364
Ed Braxton,3644.978,12,303.7481666666667
Ed Jacobs,2162.174,8,270.27175
Ed Ludwig,124.28,2,62.14
Edward Becker,3236.314,20,161.8157
Edward Hooks,9940.380000000001,27,368.1622222222223
Edward Nazzal,2199.366,9,244.374
Eileen Kiefer,1303.478,4,325.8695
Eleni McCrary,2567.0099999999998,7,366.7157142857142
Elizabeth Moffitt,2339.598,16,146.224875
Ellis Ballard,964.448,7,137.77828571428572
Elpida Rittenbach,1245.788,5,249.1576
Emily Burns,2767.219,11,251.56536363636363
Emily Ducich,3484.92,14,248.92285714285714
Emily Grady,1832.02,9,203.55777777777777
Emily Phan,5478.0608,31,176.71163870967743
Eric Barreto,944.6000000000001,7,134.94285714285715
Eric Hoffmann,684.1709999999999,17,40.24535294117646
Eric Murdock,933.704,6,155.61733333333333
Erica Bern,1643.255,6,273.87583333333333
Erica Hackney,825.9499999999999,8,103.24374999999999
Erica Hernandez,1219.53,11,110.86636363636363
Erica Smith,3510.4579999999996,8,438.80724999999995
Erin Ashbrook,2752.441,22,125.11095454545453
Erin Creighton,461.914,7,65.98771428571429
Erin Mull,228.99,6,38.165
Erin Smith,4657.924,20,232.8962
Eudokia Martin,1041.0420000000001,10,104.10420000000002
Eugene Barchas,3071.126,11,279.19327272727276
Eugene Hildebrand,3082.653,18,171.2585
Eugene Moren,4588.436000000001,21,218.49695238095242
Eva Jacobs,2656.691,8,332.086375
Evan Bailliet,1186.326,7,169.47514285714286
Evan Henry,923.884,8,115.4855
Evan Minnotte,366.822,4,91.7055
Filia McAdams,2456.638,15,163.77586666666667
Frank Atkinson,2984.054,17,175.53258823529413
Frank Carlisle,3418.742,14,244.19585714285716
Frank Gastineau,1383.144,11,125.74036363636364
Frank Hawley,4256.272,21,202.67961904761904
Frank Merwin,3736.198,20,186.8099
Frank Olsen,2678.438,15,178.56253333333333
Frank Preis,4046.746,14,289.0532857142857
Fred Chung,3889.366,10,388.9366
Fred Harton,2271.284,14,162.23457142857143
Fred Hopkins,6987.196,13,537.4766153846153
Fred McMath,2523.266,14,180.23328571428573
Fred Wasserman,79.75,3,26.583333333333332
Gary Hansen,2819.4669999999996,17,165.85099999999997
Gary Hwang,4172.8460000000005,10,417.28460000000007
Gary McGarr,3582.8199999999997,11,325.71090909090907
Gary Mitchum,3078.624,12,256.55199999999996
Gary Zandusky,4355.150000000001,14,311.0821428571429
Gene Hale,1361.2440000000001,3,453.74800000000005
Gene McClure,1255.682,13,96.59092307692308
George Ashbrook,3797.2320000000004,10,379.7232
George Bell,1568.44,20,78.422
George Zrebassa,2454.6220000000003,5,490.92440000000005
Georgia Rosenberg,1284.38,5,256.87600000000003
Giulietta Baptist,4716.288,16,294.768
Giulietta Dortch,1888.07,6,314.67833333333334
Giulietta Weimer,2189.019,9,243.2243333333333
Grace Kelly,6497.27,14,464.09071428571434
Grant Thornton,9351.212,6,1558.5353333333333
Greg Guthrie,2224.0,24,92.66666666666667
Greg Hansen,146.94080000000002,3,48.98026666666667
Greg Matthias,3163.628,11,287.60254545454546
Greg Maxwell,6049.966,11,549.9969090909091
Greg Tran,11820.119999999999,29,407.5903448275862
Guy Armstrong,1398.382,22,63.56281818181819
Guy Phonely,236.53,5,47.306
Guy Thornton,226.436,7,32.348
Hallie Redmond,940.588,5,188.11759999999998
Harold Dahlen,251.36,7,35.90857142857143
Harold Engle,755.462,8,94.43275
Harold Pawlan,1990.314,10,199.03140000000002
Harold Ryan,5248.787,14,374.91335714285714
Harry Greene,785.628,10,78.56280000000001
Harry Marie,8236.7648,20,411.83824000000004
Heather Jas,358.1,6,59.68333333333334
